chinese,english,source,refs_list
匿影藏形,to hide one's tracks and conceal one's true intentions,JSON,"[""to hide one's tracks and conceal one's true intentions""]"
十目所视，十手所指,everyone has their own perspective and opinion; there are many different viewpoints and interpretations,JSON,"['everyone has their own perspective and opinion', 'there are many different viewpoints and interpretations']"
十拿九稳,"almost certain of success, very likely to succeed",JSON,"['almost certain of success, very likely to succeed']"
十年寒窗,ten years of hard work and study,JSON,['ten years of hard work and study']
十年树木，百年树人,"It takes ten years to grow a tree, but a hundred years to nurture a person.",JSON,"['it takes ten years to grow a tree, but a hundred years to nurture a person.']"
十全十美,perfect in every aspect; without any flaws or imperfections,JSON,"['perfect in every aspect', 'without any flaws or imperfections']"
十室九空,Most households are vacant; signifies that many houses are empty or unoccupied.,JSON,"['most households are vacant', 'signifies that many houses are empty or unoccupied.']"
十恶不赦,"unforgivable crimes, no mercy",JSON,"['unforgivable crimes, no mercy']"
十万火急,extremely urgent or in a state of emergency,JSON,['extremely urgent or in a state of emergency']
千变万化,ever-changing or constantly changing; referring to a situation that is full of uncertainties and constantly shifting,JSON,"['ever-changing or constantly changing', 'referring to a situation that is full of uncertainties and constantly shifting']"
千篇一律,uniform and monotonous; lack of creativity or originality,JSON,"['uniform and monotonous', 'lack of creativity or originality']"
千方百计,try every possible means,JSON,['try every possible means']
千夫所指,being the target of public criticism and blame,JSON,['being the target of public criticism and blame']
千头万绪,numerous and complicated matters; many issues or problems,JSON,"['numerous and complicated matters', 'many issues or problems']"
千难万险,numerous difficulties and dangers,JSON,['numerous difficulties and dangers']
千里迢迢,"over a long distance, a great journey",JSON,"['over a long distance, a great journey']"
千里之堤，溃于蚁穴,a seemingly small problem or weakness can lead to disastrous consequences,JSON,['a seemingly small problem or weakness can lead to disastrous consequences']
千里之行，始于足下,A journey of a thousand miles begins with a single step,JSON,['a journey of a thousand miles begins with a single step']
千里送鹅毛,Sending a goose feather a thousand miles,JSON,['sending a goose feather a thousand miles']
千虑一得,"after numerous considerations, finally getting one small gain",JSON,"['after numerous considerations, finally getting one small gain']"
千古奇谈,an extraordinary and fascinating story or event that will be talked about for generations,JSON,['an extraordinary and fascinating story or event that will be talked about for generations']
千钧重负,"a heavy burden or responsibility that weighs a thousand catties (a unit of weight), symbolizing a great amount of pressure or expectation",JSON,"['a heavy burden or responsibility that weighs a thousand catties ,a unit of weight, symbolizing a great amount of pressure or expectation']"
千军万马,a large and powerful force,JSON,['a large and powerful force']
千奇百怪,strange and bizarre in a thousand different ways,JSON,['strange and bizarre in a thousand different ways']
千秋万代,"throughout the generations, enduring through time",JSON,"['throughout the generations, enduring through time']"
千辛万苦,a lot of hardship and difficulty,JSON,['a lot of hardship and difficulty']
千真万确,absolutely true and without a doubt,JSON,['absolutely true and without a doubt']
千差万别,a wide variety of differences or variations,JSON,['a wide variety of differences or variations']
千锤百炼,go through extensive trials and hardships to achieve perfection,JSON,['go through extensive trials and hardships to achieve perfection']
千山万水,countless hardships and obstacles,JSON,['countless hardships and obstacles']
千载难逢,a once-in-a-lifetime opportunity,JSON,['a once-in-a-lifetime opportunity']
千载一时,a once-in-a-lifetime opportunity,JSON,['a once-in-a-lifetime opportunity']
千丝万缕,"complicated and intricate, with numerous intertwined details",JSON,"['complicated and intricate, with numerous intertwined details']"
千言万语,"""countless words"" or ""endless words""",JSON,"['countless words', 'endless words']"
升堂入室,reaching a higher level of understanding or proficiency,JSON,['reaching a higher level of understanding or proficiency']
升官发财,to achieve higher position and become wealthy; to attain success and wealth in one's career,JSON,"['to achieve higher position and become wealthy', ""to attain success and wealth in one's career""]"
半壁江山,half of the country's territory,JSON,"[""half of the country's territory""]"
半途而废,"""give up halfway"" or ""abandon something halfway""",JSON,"['give up halfway', 'abandon something halfway']"
半推半就,"being hesitant or reluctant to do something, but eventually agreeing to it",JSON,"['being hesitant or reluctant to do something, but eventually agreeing to it']"
半路出家,changing one's profession or career halfway through,JSON,"[""changing one's profession or career halfway through""]"
半斤八两,"Two peas in a pod, six of one and half a dozen of the other",JSON,"['two peas in a pod, six of one and half a dozen of the other']"
半信半疑,being half-believing and half-doubting,JSON,['being half-believing and half-doubting']
卑鄙龌龊,vile and despicable,JSON,['vile and despicable']
卑躬屈膝,to humble oneself and submit to someone else's authority or demands,JSON,"[""to humble oneself and submit to someone else's authority or demands""]"
卓尔不群,standing out from the crowd; being exceptional or outstanding,JSON,"['standing out from the crowd', 'being exceptional or outstanding']"
卓有成效,remarkably effective or productive,JSON,['remarkably effective or productive']
南柯一梦,"""A dream in Nankai"" (referring to a specific dream in the story of The Journey to the West)",JSON,['a dream in nankai']
南腔北调,speaking in a regional or unfamiliar accent or dialect,JSON,['speaking in a regional or unfamiliar accent or dialect']
